input_text,input_tokens,generated_continuation_text,generated_continuation_tokens,true_continuation_text,true_continuation_tokens,matching_tokens,perfect_match
" round the table, but there was nothing on it but tea.
“I don’t see any wine,” she remarked.

“There isn’t any,” said the March Hare.

“Then it wasn’t very civil of you to offer it,” said Alice angrily","[4883, 279, 2007, 11, 719, 1070, 574, 4400, 389, 433, 719, 15600, 627, 10378, 1541, 1431, 1518, 904, 13378, 2476, 1364, 61414, 382, 35816, 4536, 1431, 904, 2476, 1071, 279, 5587, 473, 548, 382, 2118, 12487, 433, 5828, 1431, 1633, 8431, 315, 499, 311, 3085, 433, 2476, 1071, 30505, 87625]",".

“It wasn’t very civil of you to sit down without being invited,” said the March Hare.

“I didn’t know it was _your_ table,” said Alice; “it’s laid for a great many more than three.”

“Your hair","[382, 17818, 5828, 1431, 1633, 8431, 315, 499, 311, 2503, 1523, 2085, 1694, 18719, 2476, 1071, 279, 5587, 473, 548, 382, 10378, 3287, 1431, 1440, 433, 574, 721, 22479, 62, 2007, 2476, 1071, 30505, 26, 1054, 275, 753, 17551, 369, 264, 2294, 1690, 810, 1109, 2380, 2950, 2118, 7927, 7013]",".

“It wasn’t very civil of you to sit down without being invited,” said
the March Hare.

“I didn’t know it was _your_ table,” said Alice; “it’s laid for a great
many more than three.”

“","[382, 17818, 5828, 1431, 1633, 8431, 315, 499, 311, 2503, 1523, 2085, 1694, 18719, 2476, 1071, 198, 1820, 5587, 473, 548, 382, 10378, 3287, 1431, 1440, 433, 574, 721, 22479, 62, 2007, 2476, 1071, 30505, 26, 1054, 275, 753, 17551, 369, 264, 2294, 198, 35676, 810, 1109, 2380, 2950, 2118]",16,False
".

“It wasn’t very civil of you to sit down without being invited,” said
the March Hare.

“I didn’t know it was _your_ table,” said Alice; “it’s laid for a great
many more than three.”

“","[382, 17818, 5828, 1431, 1633, 8431, 315, 499, 311, 2503, 1523, 2085, 1694, 18719, 2476, 1071, 198, 1820, 5587, 473, 548, 382, 10378, 3287, 1431, 1440, 433, 574, 721, 22479, 62, 2007, 2476, 1071, 30505, 26, 1054, 275, 753, 17551, 369, 264, 2294, 198, 35676, 810, 1109, 2380, 2950, 2118]","Your hair wants cutting,” said the Hatter. He had been looking at Alice
for some time with great curiosity, and this was his first speech.

“You should learn not to make personal remarks,” Alice said with some
severity; “it’s","[7927, 7013, 6944, 14713, 2476, 1071, 279, 473, 1683, 13, 1283, 1047, 1027, 3411, 520, 30505, 198, 2000, 1063, 892, 449, 2294, 41328, 11, 323, 420, 574, 813, 1176, 8982, 382, 33672, 1288, 4048, 539, 311, 1304, 4443, 24208, 2476, 30505, 1071, 449, 1063, 198, 78119, 26, 1054, 275, 753]","Your hair wants cutting,” said the Hatter. He had been looking at
Alice for some time with great curiosity, and this was his first
speech.

“You should learn not to make personal remarks,” Alice said with some
severity; “it","[7927, 7013, 6944, 14713, 2476, 1071, 279, 473, 1683, 13, 1283, 1047, 1027, 3411, 520, 198, 62786, 369, 1063, 892, 449, 2294, 41328, 11, 323, 420, 574, 813, 1176, 198, 89325, 382, 33672, 1288, 4048, 539, 311, 1304, 4443, 24208, 2476, 30505, 1071, 449, 1063, 198, 78119, 26, 1054, 275]",26,False
"Your hair wants cutting,” said the Hatter. He had been looking at
Alice for some time with great curiosity, and this was his first
speech.

“You should learn not to make personal remarks,” Alice said with some
severity; “it","[7927, 7013, 6944, 14713, 2476, 1071, 279, 473, 1683, 13, 1283, 1047, 1027, 3411, 520, 198, 62786, 369, 1063, 892, 449, 2294, 41328, 11, 323, 420, 574, 813, 1176, 198, 89325, 382, 33672, 1288, 4048, 539, 311, 1304, 4443, 24208, 2476, 30505, 1071, 449, 1063, 198, 78119, 26, 1054, 275]","’s very rude.”

The Hatter opened his eyes very wide on hearing this; but all he
said was, “Why is a raven like a writing-desk?”

“Come, we shall have some fun now!” thought Alice. “I","[753, 1633, 47101, 2950, 791, 473, 1683, 9107, 813, 6548, 1633, 7029, 389, 11011, 420, 26, 719, 682, 568, 198, 84359, 574, 11, 1054, 10445, 374, 264, 436, 5389, 1093, 264, 4477, 25520, 74, 16616, 2118, 29951, 11, 584, 4985, 617, 1063, 2523, 1457, 18319, 3463, 30505, 13, 1054, 40]","’s very rude.”

The Hatter opened his eyes very wide on hearing this; but all he _said_
was, “Why is a raven like a writing-desk?”

“Come, we shall have some fun now!” thought Alice. “","[753, 1633, 47101, 2950, 791, 473, 1683, 9107, 813, 6548, 1633, 7029, 389, 11011, 420, 26, 719, 682, 568, 721, 84359, 13220, 16514, 11, 1054, 10445, 374, 264, 436, 5389, 1093, 264, 4477, 25520, 74, 16616, 2118, 29951, 11, 584, 4985, 617, 1063, 2523, 1457, 18319, 3463, 30505, 13, 1054]",20,False
"’s very rude.”

The Hatter opened his eyes very wide on hearing this; but all he _said_
was, “Why is a raven like a writing-desk?”

“Come, we shall have some fun now!” thought Alice. “","[753, 1633, 47101, 2950, 791, 473, 1683, 9107, 813, 6548, 1633, 7029, 389, 11011, 420, 26, 719, 682, 568, 721, 84359, 13220, 16514, 11, 1054, 10445, 374, 264, 436, 5389, 1093, 264, 4477, 25520, 74, 16616, 2118, 29951, 11, 584, 4985, 617, 1063, 2523, 1457, 18319, 3463, 30505, 13, 1054]","I’m glad they’ve begun asking riddles. I believe I can guess that,” she added aloud.

“Do you mean that you think you can find out the answer to it?” said the March Hare.

“Exactly so,” said Alice.

","[40, 4344, 16089, 814, 4070, 22088, 10371, 436, 78555, 13, 358, 4510, 358, 649, 8101, 430, 2476, 1364, 3779, 71511, 382, 2118, 5519, 499, 3152, 430, 499, 1781, 499, 649, 1505, 704, 279, 4320, 311, 433, 12671, 1071, 279, 5587, 473, 548, 382, 2118, 66457, 779, 2476, 1071, 30505, 382]","I’m glad they’ve
begun asking riddles.—I believe I can guess that,” she added aloud.

“Do you mean that you think you can find out the answer to it?” said
the March Hare.

“Exactly so,”","[40, 4344, 16089, 814, 4070, 198, 52253, 359, 10371, 436, 78555, 35192, 40, 4510, 358, 649, 8101, 430, 2476, 1364, 3779, 71511, 382, 2118, 5519, 499, 3152, 430, 499, 1781, 499, 649, 1505, 704, 279, 4320, 311, 433, 12671, 1071, 198, 1820, 5587, 473, 548, 382, 2118, 66457, 779, 2476]",6,False
"I’m glad they’ve
begun asking riddles.—I believe I can guess that,” she added aloud.

“Do you mean that you think you can find out the answer to it?” said
the March Hare.

“Exactly so,”","[40, 4344, 16089, 814, 4070, 198, 52253, 359, 10371, 436, 78555, 35192, 40, 4510, 358, 649, 8101, 430, 2476, 1364, 3779, 71511, 382, 2118, 5519, 499, 3152, 430, 499, 1781, 499, 649, 1505, 704, 279, 4320, 311, 433, 12671, 1071, 198, 1820, 5587, 473, 548, 382, 2118, 66457, 779, 2476]"," said Alice.

“Then you should say what you mean,” the March Hare went on.

“I do,” Alice hastily replied; “at least—at least I mean what I say—that’s the same thing, you know.”

“Not the same thing","[1071, 30505, 382, 2118, 12487, 499, 1288, 2019, 1148, 499, 3152, 2476, 279, 5587, 473, 548, 4024, 389, 382, 10378, 656, 2476, 30505, 94532, 20592, 26, 1054, 266, 3325, 99563, 3325, 358, 3152, 1148, 358, 2019, 41128, 753, 279, 1890, 3245, 11, 499, 1440, 2950, 2118, 2688, 279, 1890, 3245]"," said Alice.

“Then you should say what you mean,” the March Hare went on.

“I do,” Alice hastily replied; “at least—at least I mean what I
say—that’s the same thing, you know.”

“Not the same","[1071, 30505, 382, 2118, 12487, 499, 1288, 2019, 1148, 499, 3152, 2476, 279, 5587, 473, 548, 4024, 389, 382, 10378, 656, 2476, 30505, 94532, 20592, 26, 1054, 266, 3325, 99563, 3325, 358, 3152, 1148, 358, 198, 37890, 41128, 753, 279, 1890, 3245, 11, 499, 1440, 2950, 2118, 2688, 279, 1890]",35,False
" said Alice.

“Then you should say what you mean,” the March Hare went on.

“I do,” Alice hastily replied; “at least—at least I mean what I
say—that’s the same thing, you know.”

“Not the same","[1071, 30505, 382, 2118, 12487, 499, 1288, 2019, 1148, 499, 3152, 2476, 279, 5587, 473, 548, 4024, 389, 382, 10378, 656, 2476, 30505, 94532, 20592, 26, 1054, 266, 3325, 99563, 3325, 358, 3152, 1148, 358, 198, 37890, 41128, 753, 279, 1890, 3245, 11, 499, 1440, 2950, 2118, 2688, 279, 1890]"," thing a bit!” said the Hatter. “Why, you might just as
well say that ‘I see what I eat’ is the same thing as ‘I eat what I
see’!”
\end{blockquote}

The Hatter","[3245, 264, 2766, 18319, 1071, 279, 473, 1683, 13, 1054, 10445, 11, 499, 2643, 1120, 439, 198, 9336, 2019, 430, 3451, 40, 1518, 1148, 358, 8343, 529, 374, 279, 1890, 3245, 439, 3451, 40, 8343, 1148, 358, 198, 4151, 529, 18319, 198, 59, 408, 90, 49875, 633, 791, 473, 1683]"," thing a bit!” said the Hatter. “You might just as well
say that ‘I see what I eat’ is the same thing as ‘I eat what I see’!”

“You might just as well say,” added the March Hare","[3245, 264, 2766, 18319, 1071, 279, 473, 1683, 13, 1054, 2675, 2643, 1120, 439, 1664, 198, 37890, 430, 3451, 40, 1518, 1148, 358, 8343, 529, 374, 279, 1890, 3245, 439, 3451, 40, 8343, 1148, 358, 1518, 529, 25758, 33672, 2643, 1120, 439, 1664, 2019, 2476, 3779, 279, 5587, 473, 548]",11,False
" thing a bit!” said the Hatter. “You might just as well
say that ‘I see what I eat’ is the same thing as ‘I eat what I see’!”

“You might just as well say,” added the March Hare","[3245, 264, 2766, 18319, 1071, 279, 473, 1683, 13, 1054, 2675, 2643, 1120, 439, 1664, 198, 37890, 430, 3451, 40, 1518, 1148, 358, 8343, 529, 374, 279, 1890, 3245, 439, 3451, 40, 8343, 1148, 358, 1518, 529, 25758, 33672, 2643, 1120, 439, 1664, 2019, 2476, 3779, 279, 5587, 473, 548]",", “that ‘I like what I
see’ is the same thing as ‘I see what I like’!”

“You might just as well say,” added the Dormouse, who seemed to be talking
in his sleep, “that ‘I","[11, 1054, 9210, 3451, 40, 1093, 1148, 358, 198, 4151, 529, 374, 279, 1890, 3245, 439, 3451, 40, 1518, 1148, 358, 1093, 529, 25758, 33672, 2643, 1120, 439, 1664, 2019, 2476, 3779, 279, 98632, 1559, 11, 889, 9508, 311, 387, 7556, 198, 258, 813, 6212, 11, 1054, 9210, 3451, 40]",", “that ‘I like what
I get’ is the same thing as ‘I get what I like’!”

“You might just as well say,” added the Dormouse, who seemed to be
talking in his sleep, “that ‘","[11, 1054, 9210, 3451, 40, 1093, 1148, 198, 40, 636, 529, 374, 279, 1890, 3245, 439, 3451, 40, 636, 1148, 358, 1093, 529, 25758, 33672, 2643, 1120, 439, 1664, 2019, 2476, 3779, 279, 98632, 1559, 11, 889, 9508, 311, 387, 198, 83, 30855, 304, 813, 6212, 11, 1054, 9210, 3451]",36,False
", “that ‘I like what
I get’ is the same thing as ‘I get what I like’!”

“You might just as well say,” added the Dormouse, who seemed to be
talking in his sleep, “that ‘","[11, 1054, 9210, 3451, 40, 1093, 1148, 198, 40, 636, 529, 374, 279, 1890, 3245, 439, 3451, 40, 636, 1148, 358, 1093, 529, 25758, 33672, 2643, 1120, 439, 1664, 2019, 2476, 3779, 279, 98632, 1559, 11, 889, 9508, 311, 387, 198, 83, 30855, 304, 813, 6212, 11, 1054, 9210, 3451]","I breathe when I sleep’ is the same thing
as ‘I sleep when I breathe’!”

“It is a misunderstanding,” said the Hatter; “and the moral of that is—‘Be
what you would seem to be’—or","[40, 37397, 994, 358, 6212, 529, 374, 279, 1890, 3245, 198, 300, 3451, 40, 6212, 994, 358, 37397, 529, 25758, 17818, 374, 264, 70847, 2476, 1071, 279, 473, 1683, 26, 1054, 438, 279, 16033, 315, 430, 374, 2345, 14336, 3513, 198, 12840, 499, 1053, 2873, 311, 387, 529, 2345, 269]","I breathe when I sleep’ is the same thing
as ‘I sleep when I breathe’!”

“It _is_ the same thing with you,” said the Hatter, and here the
conversation dropped, and the party sat silent for a minute","[40, 37397, 994, 358, 6212, 529, 374, 279, 1890, 3245, 198, 300, 3451, 40, 6212, 994, 358, 37397, 529, 25758, 17818, 721, 285, 62, 279, 1890, 3245, 449, 499, 2476, 1071, 279, 473, 1683, 11, 323, 1618, 279, 198, 62737, 12504, 11, 323, 279, 4717, 7731, 21737, 369, 264, 9568]",21,False
"I breathe when I sleep’ is the same thing
as ‘I sleep when I breathe’!”

“It _is_ the same thing with you,” said the Hatter, and here the
conversation dropped, and the party sat silent for a minute","[40, 37397, 994, 358, 6212, 529, 374, 279, 1890, 3245, 198, 300, 3451, 40, 6212, 994, 358, 37397, 529, 25758, 17818, 721, 285, 62, 279, 1890, 3245, 449, 499, 2476, 1071, 279, 473, 1683, 11, 323, 1618, 279, 198, 62737, 12504, 11, 323, 279, 4717, 7731, 21737, 369, 264, 9568]",", while
Alice thought over all she could remember about ravens and
mock-Turtles, until she was the right size for going through the
little door into that lovely garden. First, however, she waited for
some time under the trees","[11, 1418, 198, 62786, 3463, 927, 682, 1364, 1436, 6227, 922, 43643, 729, 323, 198, 17127, 9469, 52214, 11, 3156, 1364, 574, 279, 1314, 1404, 369, 2133, 1555, 279, 198, 56492, 6134, 1139, 430, 17104, 13863, 13, 5629, 11, 4869, 11, 1364, 30315, 369, 198, 15031, 892, 1234, 279, 12690]",", while
Alice thought over all she could remember about ravens and
writing-desks, which wasn’t much.

The Hatter was the first to break the silence. “What day of the month
is it?” he said, turning to","[11, 1418, 198, 62786, 3463, 927, 682, 1364, 1436, 6227, 922, 43643, 729, 323, 198, 26372, 25520, 2857, 11, 902, 5828, 1431, 1790, 382, 791, 473, 1683, 574, 279, 1176, 311, 1464, 279, 21847, 13, 1054, 3923, 1938, 315, 279, 2305, 198, 285, 433, 12671, 568, 1071, 11, 13353, 311]",17,False
", while
Alice thought over all she could remember about ravens and
writing-desks, which wasn’t much.

The Hatter was the first to break the silence. “What day of the month
is it?” he said, turning to","[11, 1418, 198, 62786, 3463, 927, 682, 1364, 1436, 6227, 922, 43643, 729, 323, 198, 26372, 25520, 2857, 11, 902, 5828, 1431, 1790, 382, 791, 473, 1683, 574, 279, 1176, 311, 1464, 279, 21847, 13, 1054, 3923, 1938, 315, 279, 2305, 198, 285, 433, 12671, 568, 1071, 11, 13353, 311]"," Alice, with his hands in his pockets.

Alice considered a little, and then said “The fourth.”

“Two days wrong!” sighed the Hatter. “I told you butter wouldn’t
suit the works! From the same speech he suddenly spread","[30505, 11, 449, 813, 6206, 304, 813, 30278, 382, 62786, 6646, 264, 2697, 11, 323, 1243, 1071, 1054, 791, 11999, 2950, 2118, 11874, 2919, 5076, 18319, 53914, 279, 473, 1683, 13, 1054, 40, 3309, 499, 14432, 8434, 1431, 198, 73140, 279, 4375, 0, 5659, 279, 1890, 8982, 568, 15187, 9041]"," Alice: he had taken his watch out of his
pocket, and was looking at it uneasily, shaking it every now and then,
and holding it to his ear.

Alice considered a little, and then said “The fourth.”

“Two","[30505, 25, 568, 1047, 4529, 813, 3821, 704, 315, 813, 198, 79, 4638, 11, 323, 574, 3411, 520, 433, 6316, 38367, 11, 38839, 433, 1475, 1457, 323, 1243, 345, 438, 10168, 433, 311, 813, 2487, 382, 62786, 6646, 264, 2697, 11, 323, 1243, 1071, 1054, 791, 11999, 2950, 2118, 11874]",3,False
" Alice: he had taken his watch out of his
pocket, and was looking at it uneasily, shaking it every now and then,
and holding it to his ear.

Alice considered a little, and then said “The fourth.”

“Two","[30505, 25, 568, 1047, 4529, 813, 3821, 704, 315, 813, 198, 79, 4638, 11, 323, 574, 3411, 520, 433, 6316, 38367, 11, 38839, 433, 1475, 1457, 323, 1243, 345, 438, 10168, 433, 311, 813, 2487, 382, 62786, 6646, 264, 2697, 11, 323, 1243, 1071, 1054, 791, 11999, 2950, 2118, 11874]"," days wrong!” sighed the Watch in a low voice. “I’m sure I am
very careless. Still it’s no use now, going over the past. But I
suppose you’ll have to have the directions for altering it again?”

","[2919, 5076, 18319, 53914, 279, 10573, 304, 264, 3428, 7899, 13, 1054, 40, 4344, 2771, 358, 1097, 198, 1225, 84834, 13, 16782, 433, 753, 912, 1005, 1457, 11, 2133, 927, 279, 3347, 13, 2030, 358, 198, 13066, 2972, 499, 4805, 617, 311, 617, 279, 18445, 369, 60923, 433, 1578, 16616]"," days wrong!” sighed the Hatter. “I told you butter wouldn’t suit
the works!” he added looking angrily at the March Hare.

“It was the _best_ butter,” the March Hare meekly replied.

“Yes, but","[2919, 5076, 18319, 53914, 279, 473, 1683, 13, 1054, 40, 3309, 499, 14432, 8434, 1431, 7937, 198, 1820, 4375, 18319, 568, 3779, 3411, 87625, 520, 279, 5587, 473, 548, 382, 17818, 574, 279, 721, 16241, 62, 14432, 2476, 279, 5587, 473, 548, 757, 1247, 398, 20592, 382, 86508, 11, 719]",5,False
" days wrong!” sighed the Hatter. “I told you butter wouldn’t suit
the works!” he added looking angrily at the March Hare.

“It was the _best_ butter,” the March Hare meekly replied.

“Yes, but","[2919, 5076, 18319, 53914, 279, 473, 1683, 13, 1054, 40, 3309, 499, 14432, 8434, 1431, 7937, 198, 1820, 4375, 18319, 568, 3779, 3411, 87625, 520, 279, 5587, 473, 548, 382, 17818, 574, 279, 721, 16241, 62, 14432, 2476, 279, 5587, 473, 548, 757, 1247, 398, 20592, 382, 86508, 11, 719]"," some crumbs would go with it very well,” the Hatter added
vexatiously. “Let’s try another figure-biscuit.”

He picked up the shovel and offered it to Alice, who was going to
object, but thought better","[1063, 97677, 1053, 733, 449, 433, 1633, 1664, 2476, 279, 473, 1683, 3779, 198, 85, 327, 266, 13610, 13, 1054, 10267, 753, 1456, 2500, 7216, 1481, 3510, 3159, 2950, 1548, 13061, 709, 279, 93091, 323, 9076, 433, 311, 30505, 11, 889, 574, 2133, 311, 198, 1735, 11, 719, 3463, 2731]"," some crumbs must have got in as well,” the Hatter grumbled:
“you shouldn’t have put it in with the bread-knife.”

The March Hare took the watch and looked at it gloomily: then he dipped
it","[1063, 97677, 2011, 617, 2751, 304, 439, 1664, 2476, 279, 473, 1683, 1099, 26902, 512, 2118, 9514, 13434, 1431, 617, 2231, 433, 304, 449, 279, 16385, 12934, 77, 1643, 2950, 791, 5587, 473, 548, 3952, 279, 3821, 323, 7111, 520, 433, 14015, 316, 1570, 25, 1243, 568, 73307, 198, 275]",7,False
" some crumbs must have got in as well,” the Hatter grumbled:
“you shouldn’t have put it in with the bread-knife.”

The March Hare took the watch and looked at it gloomily: then he dipped
it","[1063, 97677, 2011, 617, 2751, 304, 439, 1664, 2476, 279, 473, 1683, 1099, 26902, 512, 2118, 9514, 13434, 1431, 617, 2231, 433, 304, 449, 279, 16385, 12934, 77, 1643, 2950, 791, 5587, 473, 548, 3952, 279, 3821, 323, 7111, 520, 433, 14015, 316, 1570, 25, 1243, 568, 73307, 198, 275]"," into his cup of tea, and looked at it again: but he could think of nothing better to say than his first remark, “it was the best butter, you know.”

A bright idea came into Alice’s head:

“Oh, I’ve had","[1139, 813, 10747, 315, 15600, 11, 323, 7111, 520, 433, 1578, 25, 719, 568, 1436, 1781, 315, 4400, 2731, 311, 2019, 1109, 813, 1176, 14162, 11, 1054, 275, 574, 279, 1888, 14432, 11, 499, 1440, 2950, 32, 10107, 4623, 3782, 1139, 30505, 753, 2010, 1473, 87990, 11, 358, 4070, 1047]"," into his cup of tea, and looked at it again: but he could think of
nothing better to say than his first remark, “It was the _best_ butter,
you know.”

Alice had been looking over his shoulder with some curiosity.","[1139, 813, 10747, 315, 15600, 11, 323, 7111, 520, 433, 1578, 25, 719, 568, 1436, 1781, 315, 198, 42312, 2731, 311, 2019, 1109, 813, 1176, 14162, 11, 1054, 2181, 574, 279, 721, 16241, 62, 14432, 345, 9514, 1440, 2950, 62786, 1047, 1027, 3411, 927, 813, 17308, 449, 1063, 41328, 13]",17,False
" into his cup of tea, and looked at it again: but he could think of
nothing better to say than his first remark, “It was the _best_ butter,
you know.”

Alice had been looking over his shoulder with some curiosity.","[1139, 813, 10747, 315, 15600, 11, 323, 7111, 520, 433, 1578, 25, 719, 568, 1436, 1781, 315, 198, 42312, 2731, 311, 2019, 1109, 813, 1176, 14162, 11, 1054, 2181, 574, 279, 721, 16241, 62, 14432, 345, 9514, 1440, 2950, 62786, 1047, 1027, 3411, 927, 813, 17308, 449, 1063, 41328, 13]"," “What a
delightful mark! said she, “it looks just like a large almond!”

Alice laughed. “You're in the right train of thought,” said the
Hatter. “I was thinking just about that!”

The March","[1054, 3923, 264, 198, 9783, 492, 1285, 1906, 0, 1071, 1364, 11, 1054, 275, 5992, 1120, 1093, 264, 3544, 63168, 25758, 62786, 32627, 13, 1054, 2675, 2351, 304, 279, 1314, 5542, 315, 3463, 2476, 1071, 279, 198, 39, 1683, 13, 1054, 40, 574, 7422, 1120, 922, 430, 25758, 791, 5587]"," “What a
funny watch!” she remarked. “It tells the day of the month, and doesn’t
tell what o’clock it is!”

“Why should it?” muttered the Hatter. “Does _your_ watch tell you","[1054, 3923, 264, 198, 12158, 3919, 3821, 18319, 1364, 61414, 13, 1054, 2181, 10975, 279, 1938, 315, 279, 2305, 11, 323, 3250, 1431, 198, 73457, 1148, 297, 529, 21321, 433, 374, 25758, 2118, 10445, 1288, 433, 12671, 87694, 279, 473, 1683, 13, 1054, 22186, 721, 22479, 62, 3821, 3371, 499]",4,False
" “What a
funny watch!” she remarked. “It tells the day of the month, and doesn’t
tell what o’clock it is!”

“Why should it?” muttered the Hatter. “Does _your_ watch tell you","[1054, 3923, 264, 198, 12158, 3919, 3821, 18319, 1364, 61414, 13, 1054, 2181, 10975, 279, 1938, 315, 279, 2305, 11, 323, 3250, 1431, 198, 73457, 1148, 297, 529, 21321, 433, 374, 25758, 2118, 10445, 1288, 433, 12671, 87694, 279, 473, 1683, 13, 1054, 22186, 721, 22479, 62, 3821, 3371, 499]"," what
o’clock it is?”

“Yes, but I wish you wouldn’t keep so upsidedown, it makes me giddy.”
And then Alice went on: “I don’t think it’s at all a respectable watch to
have an","[1148, 198, 78, 529, 21321, 433, 374, 16616, 86508, 11, 719, 358, 6562, 499, 8434, 1431, 2567, 779, 33834, 4591, 785, 11, 433, 3727, 757, 342, 76670, 49216, 3112, 1243, 30505, 4024, 389, 25, 1054, 40, 1541, 1431, 1781, 433, 753, 520, 682, 264, 62486, 3821, 311, 198, 19553, 459]"," what
year it is?”

“Of course not,” Alice replied very readily: “but that’s because it
stays the same year for such a long time together.”

“Which is just the case with _mine_,” said the Hatter","[1148, 198, 3236, 433, 374, 16616, 2118, 2173, 3388, 539, 2476, 30505, 20592, 1633, 31368, 25, 1054, 8248, 430, 753, 1606, 433, 198, 267, 954, 279, 1890, 1060, 369, 1778, 264, 1317, 892, 3871, 2950, 2118, 23956, 374, 1120, 279, 1162, 449, 721, 6095, 62, 2476, 1071, 279, 473, 1683]",2,False
" what
year it is?”

“Of course not,” Alice replied very readily: “but that’s because it
stays the same year for such a long time together.”

“Which is just the case with _mine_,” said the Hatter","[1148, 198, 3236, 433, 374, 16616, 2118, 2173, 3388, 539, 2476, 30505, 20592, 1633, 31368, 25, 1054, 8248, 430, 753, 1606, 433, 198, 267, 954, 279, 1890, 1060, 369, 1778, 264, 1317, 892, 3871, 2950, 2118, 23956, 374, 1120, 279, 1162, 449, 721, 6095, 62, 2476, 1071, 279, 473, 1683]",".

Alice felt dreadfully puzzled. The Hatter’s remark seemed to have no
sort of meaning in it, and yet it was certainly English. “I don’t quite
understand you,” she said, as politely as she could.

“The","[382, 62786, 6612, 36075, 3725, 87420, 13, 578, 473, 1683, 753, 14162, 9508, 311, 617, 912, 198, 7003, 315, 7438, 304, 433, 11, 323, 3686, 433, 574, 7995, 6498, 13, 1054, 40, 1541, 1431, 5115, 198, 8154, 2752, 499, 2476, 1364, 1071, 11, 439, 81867, 439, 1364, 1436, 382, 14305]",".

Alice felt dreadfully puzzled, The Hatter’s remark seemed to have no
sort of meaning in it, and yet it was certainly English. “I don’t quite
understand you,” she said, as politely as she could.

“The","[382, 62786, 6612, 36075, 3725, 87420, 11, 578, 473, 1683, 753, 14162, 9508, 311, 617, 912, 198, 7003, 315, 7438, 304, 433, 11, 323, 3686, 433, 574, 7995, 6498, 13, 1054, 40, 1541, 1431, 5115, 198, 8154, 2752, 499, 2476, 1364, 1071, 11, 439, 81867, 439, 1364, 1436, 382, 14305]",49,False
".

Alice felt dreadfully puzzled, The Hatter’s remark seemed to have no
sort of meaning in it, and yet it was certainly English. “I don’t quite
understand you,” she said, as politely as she could.

“The","[382, 62786, 6612, 36075, 3725, 87420, 11, 578, 473, 1683, 753, 14162, 9508, 311, 617, 912, 198, 7003, 315, 7438, 304, 433, 11, 323, 3686, 433, 574, 7995, 6498, 13, 1054, 40, 1541, 1431, 5115, 198, 8154, 2752, 499, 2476, 1364, 1071, 11, 439, 81867, 439, 1364, 1436, 382, 14305]"," Dormouse is asleep again,” said the Hatter, and he poured a little
hot tea upon its nose.

“The Dormouse is asleep again,” said the Hatter, and he poured a little
hot tea upon its nose.

The March H","[98632, 1559, 374, 33173, 1578, 2476, 1071, 279, 473, 1683, 11, 323, 568, 44033, 264, 2697, 198, 10847, 15600, 5304, 1202, 19689, 382, 14305, 98632, 1559, 374, 33173, 1578, 2476, 1071, 279, 473, 1683, 11, 323, 568, 44033, 264, 2697, 198, 10847, 15600, 5304, 1202, 19689, 382, 791, 5587, 473]"," Dormouse is asleep again,” said the Hatter, and he poured a little
hot tea upon its nose.

The Dormouse shook its head impatiently, and said, without opening its
eyes, “Of course, of course; just what","[98632, 1559, 374, 33173, 1578, 2476, 1071, 279, 473, 1683, 11, 323, 568, 44033, 264, 2697, 198, 10847, 15600, 5304, 1202, 19689, 382, 791, 98632, 1559, 36014, 1202, 2010, 74797, 398, 11, 323, 1071, 11, 2085, 8736, 1202, 198, 58331, 11, 1054, 2173, 3388, 11, 315, 3388, 26, 1120, 1148]",26,False
" Dormouse is asleep again,” said the Hatter, and he poured a little
hot tea upon its nose.

The Dormouse shook its head impatiently, and said, without opening its
eyes, “Of course, of course; just what","[98632, 1559, 374, 33173, 1578, 2476, 1071, 279, 473, 1683, 11, 323, 568, 44033, 264, 2697, 198, 10847, 15600, 5304, 1202, 19689, 382, 791, 98632, 1559, 36014, 1202, 2010, 74797, 398, 11, 323, 1071, 11, 2085, 8736, 1202, 198, 58331, 11, 1054, 2173, 3388, 11, 315, 3388, 26, 1120, 1148]"," I was going to remark myself.”

The Hatter opened his eyes very wide on hearing this; but all he
said was, “Why, what was that?”

“This,” said the March Hare.

“Come, let’s hear some of your","[358, 574, 2133, 311, 14162, 7182, 2950, 791, 473, 1683, 9107, 813, 6548, 1633, 7029, 389, 11011, 420, 26, 719, 682, 568, 198, 84359, 574, 11, 1054, 10445, 11, 1148, 574, 430, 16616, 31378, 2476, 1071, 279, 5587, 473, 548, 382, 2118, 29951, 11, 1095, 753, 6865, 1063, 315, 701]"," I was going to remark myself.”

“Have you guessed the riddle yet?” the Hatter said, turning to Alice
again.

“No, I give it up,” Alice replied: “what’s the answer?”

“I haven’t the slightest idea,”","[358, 574, 2133, 311, 14162, 7182, 2950, 2118, 12389, 499, 43410, 279, 436, 3390, 3686, 12671, 279, 473, 1683, 1071, 11, 13353, 311, 30505, 198, 33871, 382, 61559, 11, 358, 3041, 433, 709, 2476, 30505, 20592, 25, 1054, 12840, 753, 279, 4320, 16616, 10378, 9167, 1431, 279, 60147, 4623, 2476]",8,False
